Country,country,population
Italy,Egypt,247
Italy,El Salvador,41
Italy,Eritrea,11345
Italy,Ethiopia,2193
Italy,Gabon,8
Italy,Gambia,299
Italy,Georgia,90
Italy,Ghana,926
Italy,Guinea,652
Italy,Guinea-Bissau,40
Italy,Haiti,8
Italy,Honduras,7
Italy,India,87
Italy,Iran (Islamic Republic of),923
Italy,Iraq,1863
Italy,Jordan,9
Italy,Kenya,75
Italy,Lebanon,227
Italy,Liberia,1365
Italy,Libya,142
Italy,Mali,2088
Italy,Mauritania,146
Italy,Mongolia,6
Italy,Montenegro,23
Italy,Morocco,118
Italy,Myanmar,17
Italy,Nepal,24
Italy,Niger,141
Italy,Nigeria,2964
Italy,Pakistan,2232
Italy,Palestinian,434
Italy,Peru,16
Italy,Republic of Moldova,109
Italy,Romania,39
Italy,Russian Federation,152
Italy,Rwanda,17
Italy,Senegal,320
Italy,Serbia,2511
Italy,Sierra Leone,292
Italy,Somalia,9284
Italy,South Sudan,55
Italy,Sri Lanka,605
Italy,Stateless,13
Italy,Sudan,2548
Italy,Syrian Arab Republic,445
Italy,The former Yugoslav Republic of Macedonia,181
Italy,Togo,1513
Italy,Tunisia,187
Italy,Turkey,1733
Italy,Uganda,29
Italy,Ukraine,60
Italy,United Republic of Tanzania,5
Italy,Uzbekistan,5
Italy,Viet Nam,9
Italy,Yemen,13
Italy,Zimbabwe,25
Jamaica,Haiti,19
Japan,Various,208
Japan,Afghanistan,34
Japan,Bangladesh,15
Japan,Burundi,7
Japan,Cambodia,25
Japan,China,79
Japan,Ethiopia,13
Japan,Iran (Islamic Republic of),23
Japan,Myanmar,1732
Japan,Pakistan,10
Japan,Sri Lanka,29
Japan,Stateless,8
Japan,Sudan,14
Japan,Turkey,19
Japan,Viet Nam,358
Jordan,Afghanistan,12
Jordan,Bosnia and Herzegovina,10
Jordan,Egypt,21
Jordan,Eritrea,5
Jordan,Iraq,63037
Jordan,Russian Federation,25
Jordan,Somalia,318
Jordan,Stateless,39
Jordan,Sudan,412
Jordan,Syrian Arab Republic,238798
Jordan,Tunisia,5
Jordan,Yemen,8
Kazakhstan,Afghanistan,525
Kazakhstan,China,16
Kazakhstan,Uzbekistan,20
Kenya,Burundi,1018
Kenya,Congo,12
Kenya,Côte d'Ivoire,5
Kenya,Democratic Republic of the Congo,6244
Kenya,Eritrea,1436
Kenya,Ethiopia,22221
Kenya,Iran (Islamic Republic of),7
Kenya,Mozambique,10
Kenya,Rwanda,1343
Kenya,Somalia,512069
Kenya,South Sudan,16774
Kenya,Sri Lanka,9
Kenya,Sudan,3157
Kenya,Uganda,596
Kenya,United Republic of Tanzania,5
Kuwait,Eritrea,5
Kuwait,Iran (Islamic Republic of),14
Kuwait,Iraq,484
Kuwait,Palestinian,6
Kuwait,Somalia,121
Kuwait,Stateless,21
Kuwait,Syrian Arab Republic,15
Kyrgyzstan,Afghanistan,377
Kyrgyzstan,Syrian Arab Republic,7
Kyrgyzstan,Uzbekistan,4551
Latvia,Afghanistan,28
Latvia,Azerbaijan,5
Latvia,Belarus,7
Latvia,Iran (Islamic Republic of),14
Latvia,Russian Federation,10
Latvia,Somalia,7
Latvia,Syrian Arab Republic,17
Latvia,Uzbekistan,10
Lebanon,Afghanistan,12
Lebanon,Egypt,16
Lebanon,Ethiopia,30
Lebanon,Iran (Islamic Republic of),19
Lebanon,Iraq,6516
Lebanon,Jordan,31
Lebanon,Libya,6
Lebanon,Palestinian,98
Lebanon,Philippines,20
Lebanon,Somalia,24
Lebanon,Sri Lanka,7
Lebanon,Sudan,167
Lebanon,Syrian Arab Republic,126939
Lebanon,Tunisia,9
Lebanon,Turkey,13
Lesotho,Algeria,7
Lesotho,Democratic Republic of the Congo,10
Lesotho,Zimbabwe,6
Liberia,Côte d'Ivoire,65560
Liberia,Democratic Republic of the Congo,6
Liberia,Guinea,24
Liberia,Sierra Leone,279
Liberia,Sudan,15
Libya,Algeria,6
Libya,Chad,19
Libya,Côte d'Ivoire,5
Libya,Democratic Republic of the Congo,28
Libya,Eritrea,477
Libya,Ethiopia,23
Libya,Iraq,2532
Libya,Liberia,32
Libya,Palestinian,3138
Libya,Somalia,165
Libya,Sudan,635
Liechtenstein,Armenia,8
Liechtenstein,Eritrea,14
Liechtenstein,Serbia,48
Liechtenstein,Somalia,23
Lithuania,Afghanistan,136
Lithuania,Belarus,27
Lithuania,Cameroon,5
Lithuania,Eritrea,9
Lithuania,Iran (Islamic Republic of),6
Lithuania,Iraq,17
Lithuania,Russian Federation,583
Lithuania,Somalia,22
Lithuania,Sri Lanka,7
Lithuania,Stateless,7
Lithuania,Syrian Arab Republic,5
Lithuania,Uzbekistan,12
Luxembourg,Various,2910
Malawi,Burundi,1428
Malawi,Democratic Republic of the Congo,2827
Malawi,Rwanda,2226
Malawi,Somalia,55
Malaysia,Afghanistan,349
Malaysia,Bangladesh,14
Malaysia,Cambodia,58
Malaysia,China,82
Malaysia,Democratic Republic of the Congo,6
Malaysia,Eritrea,7
Malaysia,Indonesia,901
Malaysia,Iran (Islamic Republic of),148
Malaysia,Iraq,475
Malaysia,Liberia,10
Malaysia,Myanmar,84671
Malaysia,Nepal,9
Malaysia,Pakistan,96
Malaysia,Palestinian,235
Malaysia,Russian Federation,5
Malaysia,Somalia,929
Malaysia,Sri Lanka,2021
Malaysia,Sudan,78
Malaysia,Thailand,14
Malaysia,Viet Nam,9
Malaysia,Yemen,26
Mali,Burundi,25
Mali,Congo,28
Mali,Côte d'Ivoire,1116
Mali,Democratic Republic of the Congo,155
Mali,Liberia,124
Mali,Mauritania,12436
Mali,Rwanda,30
Mali,Togo,6
Malta,Various,613
Malta,Bangladesh,5
Malta,Cameroon,5
Malta,Côte d'Ivoire,30
Malta,Democratic Republic of the Congo,64
Malta,Egypt,8
Malta,Eritrea,1681
Malta,Ethiopia,93
Malta,Iraq,24
Malta,Libya,68
Malta,Mali,8
Malta,Morocco,5
Malta,Nigeria,11
Malta,Pakistan,40
Malta,Palestinian,22
Malta,Somalia,5041
Malta,Sri Lanka,7
Malta,Sudan,301
Malta,Syrian Arab Republic,191
Mauritania,Congo,11
Mauritania,Côte d'Ivoire,276
Mauritania,Democratic Republic of the Congo,70
Mauritania,Iraq,30
Mauritania,Liberia,9
Mauritania,Mali,54029
Mauritania,Palestinian,13
Mauritania,Senegal,9
Mauritania,Togo,33
Mauritania,Western Sahara,26000
Mexico,Cameroon,11
Mexico,China,5
Mexico,Colombia,247
Mexico,Congo,11
Mexico,Cuba,41
Mexico,Democratic Republic of the Congo,58
Mexico,Dominican Republic,6
Mexico,El Salvador,324
Mexico,Eritrea,5
Mexico,Guatemala,312
Mexico,Haiti,173
Mexico,Honduras,157
Mexico,India,6
Mexico,Iran (Islamic Republic of),22
Mexico,Iraq,31
Mexico,Nicaragua,14
Mexico,Peru,10
Mexico,Romania,7
Mexico,Russian Federation,5
Mexico,Sri Lanka,17
Mexico,Venezuela (Bolivarian Republic of),9
Monaco,Various,37
Montenegro,Bosnia and Herzegovina,1976
Montenegro,Croatia,713
Montenegro,Serbia,8504
Morocco,Cameroon,6
Morocco,Congo,9
Morocco,Côte d'Ivoire,312
Morocco,Democratic Republic of the Congo,181
Morocco,Iraq,147
Morocco,Nigeria,5
Morocco,Pakistan,7
Morocco,Palestinian,31
Morocco,Rwanda,5
Morocco,Somalia,7
Mozambique,Burundi,976
Mozambique,Congo,11
Mozambique,Democratic Republic of the Congo,2527
Mozambique,Rwanda,777
Mozambique,Somalia,89
Mozambique,Sudan,5
Namibia,Burundi,214
Namibia,Democratic Republic of the Congo,1436
Namibia,Rwanda,109
Namibia,Zimbabwe,24
Nepal,Bhutan,40971
Nepal,Myanmar,47
Nepal,Pakistan,169
Nepal,Somalia,50
Nepal,Sri Lanka,11
Nepal,Tibetan,15000
Netherlands,Various,3665
Netherlands,Afghanistan,6126
Netherlands,Albania,18
Netherlands,Algeria,29
Netherlands,Angola,722
Netherlands,Armenia,926
Netherlands,Azerbaijan,1436
Netherlands,Bangladesh,31
Netherlands,Belarus,110
Netherlands,Benin,11
Netherlands,Bhutan,211
Netherlands,Bosnia and Herzegovina,247
Netherlands,Burkina Faso,11
Netherlands,Burundi,1656
Netherlands,Cambodia,31
Netherlands,Cameroon,179
Netherlands,Central African Republic,6
Netherlands,Chad,17
Netherlands,China,1117
Netherlands,Colombia,295
Netherlands,Congo,680
Netherlands,Côte d'Ivoire,645
Netherlands,Croatia,23
Netherlands,Cuba,15
Netherlands,Democratic People's Republic of Korea,58
Netherlands,Democratic Republic of the Congo,833
Netherlands,Djibouti,10
Netherlands,Ecuador,10
Netherlands,Egypt,92
Netherlands,Eritrea,2103
Netherlands,Ethiopia,726
Netherlands,Gambia,22
Netherlands,Georgia,117
Netherlands,Guinea,825
Netherlands,Guinea-Bissau,5
Netherlands,Honduras,6
Netherlands,India,6
Netherlands,Indonesia,28
Netherlands,Iran (Islamic Republic of),3354
Netherlands,Iraq,18012
Netherlands,Jamaica,53
Netherlands,Jordan,9
Netherlands,Kazakhstan,98
Netherlands,Kenya,32
Netherlands,Kuwait,8
Netherlands,Kyrgyzstan,64
Netherlands,Lao People's Democratic Republic,33
Netherlands,Lebanon,46
Netherlands,Liberia,431
Netherlands,Libya,309
Netherlands,Malaysia,8
Netherlands,Mali,10
Netherlands,Mauritania,17
Netherlands,Mongolia,41
Netherlands,Morocco,15
Netherlands,Myanmar,795
Netherlands,Nepal,385
Netherlands,Niger,43
Netherlands,Nigeria,213
Netherlands,Pakistan,249
Netherlands,Palestinian,55
Netherlands,Peru,9
Netherlands,Philippines,15
Netherlands,Republic of Moldova,7
Netherlands,Romania,13
Netherlands,Russian Federation,880
Netherlands,Rwanda,363
Netherlands,Saudi Arabia,20
Netherlands,Senegal,16
Netherlands,Serbia,565
Netherlands,Sierra Leone,1000
Netherlands,Slovakia,8
Netherlands,Somalia,16286
Netherlands,Sri Lanka,644
Netherlands,Stateless,622
Netherlands,Sudan,1233
Netherlands,Syrian Arab Republic,1449
Netherlands,Tajikistan,56
Netherlands,The former Yugoslav Republic of Macedonia,10
Netherlands,Togo,157
Netherlands,Trinidad and Tobago,5
Netherlands,Tunisia,38
Netherlands,Turkey,499
Netherlands,Turkmenistan,20
Netherlands,Uganda,230
Netherlands,Ukraine,74
Netherlands,United Republic of Tanzania,5
Netherlands,Uzbekistan,195
Netherlands,Viet Nam,28
Netherlands,Yemen,43
Netherlands,Zimbabwe,35
New Zealand,Afghanistan,29
New Zealand,Algeria,21
New Zealand,Bahrain,20
New Zealand,Bangladesh,7
New Zealand,Bulgaria,7
New Zealand,Cameroon,5
New Zealand,Chile,6
New Zealand,China,126
New Zealand,Colombia,17
New Zealand,Congo,8
New Zealand,Czech Republic,69
New Zealand,Democratic Republic of the Congo,6
New Zealand,Egypt,23
New Zealand,Eritrea,8
New Zealand,Ethiopia,16
New Zealand,Fiji,15
New Zealand,India,7
New Zealand,Iran (Islamic Republic of),339
New Zealand,Iraq,188
New Zealand,Jordan,15
New Zealand,Kuwait,7
New Zealand,Kyrgyzstan,9
New Zealand,Lebanon,5
New Zealand,Libya,9
New Zealand,Myanmar,36
New Zealand,Nepal,17
New Zealand,Pakistan,39
New Zealand,Palestinian,13
New Zealand,Saudi Arabia,24
New Zealand,Serbia,5
New Zealand,Slovakia,7
New Zealand,Somalia,45
New Zealand,Sri Lanka,98
New Zealand,Sudan,14
New Zealand,Syrian Arab Republic,41
New Zealand,Turkey,20
New Zealand,Zimbabwe,123
Nicaragua,Colombia,8
Nicaragua,Cuba,6
Nicaragua,El Salvador,69
Nicaragua,Guatemala,8
Nicaragua,Honduras,33
Niger,Cameroon,6
Niger,Chad,142
Niger,Côte d'Ivoire,28
Niger,Democratic Republic of the Congo,68
Niger,Iraq,6
Niger,Mali,50204
Niger,Rwanda,27
Niger,Somalia,9
Niger,Sudan,9
Nigeria,Angola,7
Nigeria,Burundi,6
Nigeria,Cameroon,858
Nigeria,Central African Republic,7
Nigeria,Chad,213
Nigeria,Côte d'Ivoire,148
Nigeria,Democratic Republic of the Congo,860
Nigeria,Eritrea,15
Nigeria,Ethiopia,29
Nigeria,Ghana,71
Nigeria,Guinea,44
Nigeria,Guinea-Bissau,6
Nigeria,Liberia,564
Nigeria,Mali,9
Nigeria,Palestinian,7
Nigeria,Rwanda,36
Nigeria,Sierra Leone,50
Nigeria,Somalia,21
Nigeria,Sri Lanka,15
Nigeria,Sudan,146
Nigeria,Togo,24
Norway,Various,59
Norway,Afghanistan,5984
Norway,Albania,38
Norway,Algeria,42
Norway,Angola,165
Norway,Armenia,22
Norway,Azerbaijan,51
Norway,Bangladesh,13
Norway,Belarus,31
Norway,Bhutan,10
Norway,Bosnia and Herzegovina,53
Norway,Bulgaria,8
Norway,Burundi,398
Norway,Cameroon,26
Norway,China,656
Norway,Colombia,27
Norway,Congo,34
Norway,Côte d'Ivoire,26
Norway,Croatia,11
Norway,Cuba,7
Norway,Democratic People's Republic of Korea,14
Norway,Democratic Republic of the Congo,299
Norway,Egypt,18
Norway,El Salvador,5
Norway,Eritrea,7129
Norway,Ethiopia,1530
Norway,Gambia,7
Norway,Georgia,10
Norway,Ghana,5
Norway,Guatemala,7
Norway,Guinea,42
Norway,India,12
Norway,Iran (Islamic Republic of),1334
Norway,Iraq,5727
Norway,Israel,8
Norway,Jordan,16
Norway,Kazakhstan,27
Norway,Kenya,16
Norway,Kuwait,8
Norway,Kyrgyzstan,25
Norway,Lebanon,37
Norway,Liberia,67
Norway,Libya,50
Norway,Malawi,8
Norway,Mongolia,9
Norway,Morocco,26
Norway,Myanmar,160
Norway,Nepal,14
Norway,Niger,10
Norway,Nigeria,109
Norway,Pakistan,91
Norway,Philippines,8
Norway,Romania,6
Norway,Russian Federation,3875
Norway,Rwanda,170
Norway,Serbia,946
Norway,Sierra Leone,15
Norway,Somalia,8870
Norway,Sri Lanka,336
Norway,Stateless,2116
Norway,Sudan,800
Norway,Syrian Arab Republic,565
Norway,Tajikistan,15
Norway,Thailand,31
Norway,Togo,14
Norway,Turkey,138
Norway,Turkmenistan,7
Norway,Uganda,52
Norway,Ukraine,5
Norway,Uzbekistan,145
Norway,Viet Nam,14
Norway,Yemen,130
Norway,Zimbabwe,21
Oman,Iraq,131
Oman,Syrian Arab Republic,7
Pakistan,Afghanistan,1637740
Pakistan,Algeria,17
Pakistan,Iran (Islamic Republic of),48
Pakistan,Iraq,72
Pakistan,Myanmar,23
Pakistan,Russian Federation,7
Pakistan,Somalia,517
Pakistan,Syrian Arab Republic,11
Pakistan,Turkey,6
Pakistan,Uzbekistan,6
Panama,Belarus,7
Panama,Cameroon,8
Panama,Colombia,15723
Panama,Cuba,1114
Panama,Democratic Republic of the Congo,5
Panama,El Salvador,269
Panama,Guatemala,12
Panama,Haiti,17
Panama,Nicaragua,173
Panama,Nigeria,10
Panama,Peru,23
Panama,Venezuela (Bolivarian Republic of),18
Papua New Guinea,Indonesia,9368
Papua New Guinea,Somalia,5
Papua New Guinea,Sri Lanka,5
Paraguay,Bolivia (Plurinational State of),13
Paraguay,Colombia,40
Paraguay,Cuba,56
Paraguay,Iraq,6
Paraguay,Russian Federation,8
Paraguay,Viet Nam,6
Peru,Bangladesh,6
Peru,Bolivia (Plurinational State of),7
Peru,Bosnia and Herzegovina,6
Peru,Colombia,413
Peru,Cuba,469
Peru,Haiti,16
Peru,Hungary,6
Peru,Iran (Islamic Republic of),9
Peru,Iraq,9
Peru,Nigeria,5
Peru,Palestinian,20
Peru,Russian Federation,16
Peru,Serbia,80
Peru,Venezuela (Bolivarian Republic of),13
Philippines,Iran (Islamic Republic of),45
Philippines,Iraq,23
Philippines,Pakistan,7
Philippines,Palestinian,20
Philippines,Rwanda,8
Philippines,Somalia,5
Philippines,Sri Lanka,8
Poland,Afghanistan,72
Poland,Armenia,62
Poland,Azerbaijan,11
Poland,Belarus,198
Poland,Cameroon,8
Poland,China,13
Poland,Congo,10
Poland,Cuba,10
Poland,Eritrea,14
Poland,Georgia,14
Poland,India,6
Poland,Iran (Islamic Republic of),15
Poland,Iraq,137
Poland,Kazakhstan,7
Poland,Kenya,5
Poland,Kyrgyzstan,9
Poland,Libya,6
Poland,Mongolia,18
Poland,Nepal,9
Poland,Nigeria,17
Poland,Pakistan,19
Poland,Palestinian,11
Poland,Russian Federation,14938
Poland,Senegal,6
Poland,Somalia,48
Poland,Sri Lanka,53
Poland,Stateless,21
Poland,Sudan,7
Poland,Syrian Arab Republic,17
Poland,Turkey,39
Poland,Turkmenistan,5
Poland,Ukraine,25
Poland,Uzbekistan,10
Poland,Viet Nam,17
Portugal,Various,24
Portugal,Afghanistan,6
Portugal,Belarus,9
Portugal,Bosnia and Herzegovina,11
Portugal,Cameroon,7
Portugal,Colombia,76
Portugal,Comoros,18
Portugal,Côte d'Ivoire,19
Portugal,Cuba,8
Portugal,Democratic Republic of the Congo,43
Portugal,Eritrea,22
Portugal,Guinea,50
Portugal,Guinea-Bissau,9
Portugal,Iran (Islamic Republic of),10
Portugal,Iraq,6
Portugal,Kenya,5
Portugal,Nigeria,11
Portugal,Pakistan,7
Portugal,Russian Federation,15
Portugal,Sierra Leone,8
Portugal,Somalia,40
Portugal,Sri Lanka,19
Qatar,Iraq,64
Qatar,Somalia,8
Qatar,Syrian Arab Republic,8
Republic of Korea,Afghanistan,10
Republic of Korea,Bangladesh,65
Republic of Korea,Cameroon,10
Republic of Korea,China,25
Republic of Korea,Côte d'Ivoire,25
Republic of Korea,Democratic Republic of the Congo,43
Republic of Korea,Ethiopia,32
Republic of Korea,Ghana,5
Republic of Korea,Iran (Islamic Republic of),19
Republic of Korea,Iraq,6
Republic of Korea,Myanmar,156
Republic of Korea,Nigeria,6
Republic of Korea,Pakistan,15
Republic of Korea,Russian Federation,8
Republic of Korea,Uganda,20
Republic of Korea,Uzbekistan,8
Republic of Moldova,Afghanistan,14
Republic of Moldova,Armenia,28
Republic of Moldova,Azerbaijan,10
Republic of Moldova,Georgia,5
Republic of Moldova,Kyrgyzstan,14
Republic of Moldova,Palestinian,7
Republic of Moldova,Russian Federation,11
Republic of Moldova,Sudan,7
Republic of Moldova,Syrian Arab Republic,55
Romania,Afghanistan,125
Romania,Cameroon,25
Romania,Congo,23
Romania,Democratic Republic of the Congo,17
Romania,Egypt,15
Romania,Eritrea,17
Romania,Ethiopia,7
Romania,Guinea,6
Romania,Iran (Islamic Republic of),50
Romania,Iraq,487
Romania,Jordan,8
Romania,Lebanon,9
Romania,Myanmar,45
Romania,Nigeria,6
Romania,Pakistan,9
Romania,Palestinian,30
Romania,Republic of Moldova,9
Romania,Serbia,15
Romania,Somalia,94
Romania,Stateless,8
Romania,Sudan,15
Romania,Syrian Arab Republic,152
Romania,Turkey,41
Russian Federation,Various,38
Russian Federation,Afghanistan,1300
Russian Federation,Angola,11
Russian Federation,Azerbaijan,19
Russian Federation,Bangladesh,13
Russian Federation,China,9
Russian Federation,Congo,5
Russian Federation,Democratic People's Republic of Korea,44
Russian Federation,Democratic Republic of the Congo,15
Russian Federation,Egypt,8
Russian Federation,Georgia,1404
Russian Federation,Iraq,19
Russian Federation,Kyrgyzstan,42
Russian Federation,Lebanon,7
Russian Federation,Palestinian,8
Russian Federation,Republic of Moldova,9
Russian Federation,Syrian Arab Republic,53
Russian Federation,Tajikistan,30
Russian Federation,Turkmenistan,10
Russian Federation,Ukraine,5
Russian Federation,United States of America,5
Russian Federation,Uzbekistan,85
Rwanda,Burundi,333
Rwanda,Chad,7
Rwanda,Democratic Republic of the Congo,57857
Saudi Arabia,China,14
Saudi Arabia,Eritrea,379
Saudi Arabia,Iraq,50
Saudi Arabia,Liberia,27
Saudi Arabia,Palestinian,22
Saudi Arabia,Somalia,20
Saudi Arabia,Sudan,31
Saudi Arabia,Syrian Arab Republic,14
Saudi Arabia,Tunisia,6
Saudi Arabia,Uzbekistan,7
Senegal,Algeria,9
Senegal,Burundi,50
Senegal,Cameroon,11
Senegal,Chad,15
Senegal,Congo,19
Senegal,Côte d'Ivoire,48
Senegal,Democratic Republic of the Congo,20
Senegal,Guinea,13
Senegal,Liberia,61
Senegal,Mauritania,13702
Senegal,Nigeria,7
Senegal,Rwanda,274
Serbia,Bosnia and Herzegovina,16418
Serbia,Croatia,49931
Serbia,Iraq,18
Sierra Leone,Côte d'Ivoire,33
Sierra Leone,Liberia,4163
Sierra Leone,Sudan,7
Slovakia,Afghanistan,209
Slovakia,Armenia,10
Slovakia,Congo,5
Slovakia,Cuba,32
Slovakia,Democratic Republic of the Congo,10
Slovakia,Iran (Islamic Republic of),35
Slovakia,Iraq,95
Slovakia,Palestinian,8
Slovakia,Russian Federation,6
Slovakia,Serbia,10
Slovakia,Somalia,161
Slovakia,Stateless,8
Slovakia,Syrian Arab Republic,24
Slovakia,Ukraine,17
Slovenia,Afghanistan,18
Slovenia,Bosnia and Herzegovina,9
Slovenia,Democratic Republic of the Congo,6
Slovenia,Iran (Islamic Republic of),15
Slovenia,Kazakhstan,16
Slovenia,Russian Federation,7
Slovenia,Serbia,63
Slovenia,Somalia,20
Slovenia,Sudan,5
Somalia,Various,46
Somalia,Eritrea,39
Somalia,Ethiopia,2179
Somalia,United Republic of Tanzania,29
Somalia,Yemen,5
South Africa,Various,13503
South Africa,Afghanistan,20
South Africa,Angola,5805
South Africa,Bangladesh,146
South Africa,Bosnia and Herzegovina,27
South Africa,Burundi,2359
South Africa,Cameroon,135
South Africa,Congo,2336
South Africa,Côte d'Ivoire,12
South Africa,Democratic Republic of the Congo,13386
South Africa,Eritrea,660
South Africa,Ethiopia,5538
South Africa,Ghana,10
South Africa,Iraq,5
South Africa,Kenya,53
South Africa,Kyrgyzstan,18
South Africa,Liberia,214
South Africa,Malawi,11
South Africa,Nigeria,34
South Africa,Pakistan,38
South Africa,Poland,5
South Africa,Rwanda,1364
South Africa,Serbia,34
South Africa,Sierra Leone,53
South Africa,Solomon Islands,5
South Africa,Somalia,17864
South Africa,Sudan,182
South Africa,Uganda,141
South Africa,United Republic of Tanzania,140
South Africa,Zambia,17
South Africa,Zimbabwe,1095
South Sudan,Central African Republic,1560
South Sudan,Democratic Republic of the Congo,18296
South Sudan,Ethiopia,5891
South Sudan,Sudan,176834
Spain,Various,95
Spain,Afghanistan,92
Spain,Albania,16
Spain,Algeria,49
Spain,Angola,17
Spain,Armenia,61
Spain,Azerbaijan,40
Spain,Bangladesh,13
Spain,Belarus,31
Spain,Burkina Faso,5
Spain,Cameroon,24
Spain,China,11
Spain,Colombia,637
Spain,Congo,13
Spain,Côte d'Ivoire,246
Spain,Cuba,967
Spain,Democratic Republic of the Congo,98
Spain,Egypt,8
Spain,Equatorial Guinea,111
Spain,Eritrea,33
Spain,Ethiopia,78
Spain,Gambia,8
Spain,Georgia,26
Spain,Guatemala,7
Spain,Guinea,6
Spain,Haiti,20
Spain,Honduras,15
Spain,Iran (Islamic Republic of),51
Spain,Iraq,248
Spain,Jordan,19
Spain,Kazakhstan,8
Spain,Liberia,19
Spain,Mexico,8
Spain,Morocco,34
Spain,Nepal,6
Spain,Nicaragua,9
Spain,Nigeria,24
Spain,Pakistan,124
Spain,Palestinian,298
Spain,Russian Federation,268
Spain,Rwanda,14
Spain,Serbia,16
Spain,Sierra Leone,22
Spain,Somalia,196
Spain,Sri Lanka,71
Spain,Stateless,108
Spain,Sudan,44
Spain,Syrian Arab Republic,32
Spain,Togo,12
Spain,Tunisia,6
Spain,Turkey,8
Spain,Ukraine,10
Spain,Uzbekistan,7
Spain,Venezuela (Bolivarian Republic of),44
Spain,Viet Nam,5
Spain,Western Sahara,9
Spain,Yemen,5
Sri Lanka,Afghanistan,5
Sri Lanka,Pakistan,104
Sudan,Various,116
Sudan,Central African Republic,2172
Sudan,Chad,32220
Sudan,Democratic Republic of the Congo,15
Sudan,Eritrea,112283
Sudan,Ethiopia,4761
Sudan,Iraq,15
Sudan,Somalia,372
Sudan,Uganda,219
Swaziland,Angola,12
Swaziland,Burundi,90
Swaziland,Cameroon,6
Swaziland,Democratic Republic of the Congo,255
Swaziland,Ethiopia,5
Swaziland,Rwanda,84
Swaziland,Somalia,22
Swaziland,Uganda,7
Swaziland,Zimbabwe,8
Sweden,Various,750
Sweden,Afghanistan,8454
Sweden,Albania,209
Sweden,Algeria,66
Sweden,Angola,80
Sweden,Armenia,548
Sweden,Azerbaijan,834
Sweden,Bangladesh,251
Sweden,Belarus,188
Sweden,Belgium,13
Sweden,Benin,5
Sweden,Bhutan,9
Sweden,Bolivia (Plurinational State of),36
Sweden,Bosnia and Herzegovina,1239
Sweden,Bulgaria,33
Sweden,Burundi,1203
Sweden,Cambodia,5
Sweden,Cameroon,80
Sweden,Chad,8
Sweden,Chile,30
Sweden,China,255
Sweden,Colombia,60
Sweden,Congo,60
Sweden,Côte d'Ivoire,59
Sweden,Croatia,46
Sweden,Cuba,88
Sweden,Democratic People's Republic of Korea,7
Sweden,Democratic Republic of the Congo,287
Sweden,Ecuador,50
Sweden,Egypt,142
Sweden,El Salvador,43
Sweden,Eritrea,6414
Sweden,Estonia,5
Sweden,Ethiopia,452
Sweden,Gambia,45
Sweden,Georgia,170
Sweden,Germany,6
Sweden,Ghana,21
Sweden,Guatemala,10
Sweden,Guinea,61
Sweden,Honduras,17
Sweden,India,51
Sweden,Indonesia,6
Sweden,Iran (Islamic Republic of),2992
Sweden,Iraq,24741
Sweden,Israel,30
Sweden,Jordan,316
Sweden,Kazakhstan,306
Sweden,Kenya,68
Sweden,Kiribati,29
Sweden,Kuwait,9
Sweden,Kyrgyzstan,174
Sweden,Lao People's Democratic Republic,6
Sweden,Latvia,11
Sweden,Lebanon,380
Sweden,Liberia,30
Sweden,Libya,355
Sweden,Lithuania,10
Sweden,Malaysia,5
Sweden,Mali,10
Sweden,Mauritania,6
Sweden,Mongolia,158
Sweden,Montenegro,49
Sweden,Morocco,65
Sweden,Myanmar,49
Sweden,Nepal,22
Sweden,Nicaragua,6
Sweden,Nigeria,178
Sweden,Pakistan,209
Sweden,Peru,40
Sweden,Philippines,33
Sweden,Republic of Korea,8
Sweden,Republic of Moldova,12
Sweden,Romania,38
Sweden,Russian Federation,1770
Sweden,Rwanda,41
Sweden,Saudi Arabia,8
Sweden,Senegal,11
Sweden,Serbia,4315
Sweden,Sierra Leone,44
Sweden,Slovakia,8
Sweden,Somalia,19416
Sweden,Sri Lanka,42
Sweden,Stateless,4948
Sweden,Sudan,295
Sweden,Syrian Arab Republic,6051
Sweden,Tajikistan,38
Sweden,Thailand,14
Sweden,The former Yugoslav Republic of Macedonia,118
Sweden,Togo,17
Sweden,Tunisia,41
Sweden,Turkey,503
Sweden,Turkmenistan,61
Sweden,Uganda,191
Sweden,Ukraine,111
Sweden,United Republic of Tanzania,19
Sweden,United States of America,10
Sweden,Uzbekistan,1487
Sweden,Venezuela (Bolivarian Republic of),6
Sweden,Viet Nam,82
Sweden,Yemen,390
Sweden,Zimbabwe,36
Switzerland,Various,474
Switzerland,Afghanistan,2099
Switzerland,Albania,49
Switzerland,Algeria,195
Switzerland,Angola,1176
Switzerland,Armenia,66
Switzerland,Azerbaijan,67
Switzerland,Bangladesh,58
Switzerland,Belarus,30
Switzerland,Benin,29
Switzerland,Bolivia (Plurinational State of),10
Switzerland,Bosnia and Herzegovina,2795
Switzerland,Brazil,6
Switzerland,Bulgaria,17
Switzerland,Burkina Faso,10
Switzerland,Burundi,81
Switzerland,Cambodia,376
Switzerland,Cameroon,178
Switzerland,Central African Republic,6
Switzerland,Chad,48
Switzerland,Chile,14
Switzerland,China,1662
Switzerland,Colombia,327
Switzerland,Congo,85
Switzerland,Côte d'Ivoire,126
Switzerland,Croatia,45
Switzerland,Cuba,38
Switzerland,Czech Republic,8
Switzerland,Democratic Republic of the Congo,1357
